"node1","node2"
1,2
1,12
1,33
1,110
1,111
1,162
2,25
2,76
2,101
2,110
2,162
3,76
3,97
3,109
3,158
4,11
4,26
4,74
4,75
4,78
4,100
4,103
4,126
4,167
4,194
5,17
5,18
5,26
5,92
5,93
6,17
6,18
6,81
6,92
7,23
7,31
7,85
7,104
8,20
8,28
8,82
8,89
8,96
8,98
9,21
9,86
10,33
10,97
10,111
11,26
11,78
11,104
11,161
12,33
12,101
12,162
13,34
13,155
14,16
14,22
14,84
14,90
15,20
15,80
15,82
15,83
16,22
16,87
17,18
18,92
19,45
19,74
19,93
19,95
19,105
20,80
20,82
20,96
21,31
21,78
21,86
21,161
22,84
22,87
23,31
23,104
23,161
24,83
24,91
25,76
25,88
25,101
25,102
26,32
26,74
26,85
26,93
26,104
26,108
27,30
27,94
27,147
27,207
28,84
28,89
28,98
28,156
28,157
29,96
30,78
30,147
31,86
31,161
32,85
33,90
33,111
34,77
34,155
35,132
35,133
35,135
35,137
35,169
35,191
35,204
35,245
36,121
36,150
36,193
36,219
36,246
37,127
37,140
37,149
37,173
37,176
37,177
37,191
38,140
38,248
38,249
39,40
39,41
39,180
39,182
39,231
39,252
40,180
40,181
40,231
41,132
41,182
41,243
41,252
41,253
42,43
42,47
42,48
43,44
44,46
45,74
45,338
47,48
49,50
49,52
50,52
51,52
53,54
53,62
54,55
54,59
54,60
55,59
55,65
56,57
56,58
56,60
57,58
57,61
58,59
58,60
58,61
59,60
59,61
59,63
61,63
64,68
64,69
65,67
65,69
65,70
66,67
66,69
66,71
66,73
67,69
67,70
67,71
67,72
68,69
68,73
68,79
68,91
69,73
71,72
71,73
74,75
74,105
74,108
74,233
74,338
75,118
75,194
75,233
76,88
76,110
76,158
77,155
78,100
78,124
78,147
78,161
79,91
79,99
80,83
81,92
81,93
82,87
82,98
82,156
84,87
84,90
84,107
84,156
84,157
85,104
87,156
88,102
89,96
89,157
90,107
90,157
92,93
93,95
93,105
93,108
94,107
94,157
95,105
97,109
97,110
97,111
97,158
98,156
100,103
100,124
100,230
101,102
101,106
101,162
102,106
103,123
103,126
103,230
104,161
105,108
107,157
110,111
110,158
112,139
112,171
112,172
112,245
113,173
113,176
113,177
114,115
114,116
114,196
115,196
116,146
116,149
116,152
116,196
117,118
117,159
117,190
117,208
117,233
118,150
118,190
118,194
118,233
119,120
119,144
119,178
119,184
119,186
119,201
119,202
119,209
119,247
120,160
120,178
120,184
121,129
121,150
121,165
121,192
122,138
122,181
122,189
122,218
123,125
123,126
123,230
124,125
124,147
124,195
124,230
125,126
125,195
125,210
125,230
126,167
126,210
127,136
127,139
127,149
127,172
127,191
128,164
128,204
128,205
128,251
129,165
130,141
130,203
130,241
131,132
131,133
131,134
131,135
131,182
132,133
132,169
132,182
132,243
133,135
134,135
134,182
134,183
134,245
135,245
136,139
136,146
136,149
137,166
137,191
137,204
138,146
138,151
138,152
138,154
138,179
138,218
139,146
139,172
139,245
140,173
141,142
141,144
141,186
141,187
141,203
141,241
142,144
142,145
142,185
142,241
142,242
142,247
143,145
143,185
143,206
143,231
143,242
143,252
144,186
144,187
144,209
144,247
145,185
145,247
145,250
145,252
146,149
146,152
146,153
146,154
146,179
146,245
147,195
147,207
148,245
150,165
150,190
150,192
150,193
150,194
150,205
150,251
151,152
151,153
151,154
152,153
153,154
159,198
159,208
159,232
159,233
160,169
160,178
160,184
160,211
163,193
163,246
164,204
164,251
165,170
165,174
165,192
165,194
166,173
166,191
167,174
167,194
167,195
167,210
168,200
168,232
168,233
168,258
168,263
169,184
169,204
169,209
169,211
169,243
169,251
170,174
170,175
171,172
171,244
172,191
172,244
172,245
173,176
173,177
173,191
173,197
174,175
174,194
174,195
175,195
175,207
176,177
178,193
178,202
178,211
178,251
179,183
179,189
179,218
179,245
180,181
180,182
180,188
181,188
181,189
182,183
182,188
183,188
183,189
183,245
184,209
185,242
186,187
186,201
187,199
187,201
187,203
188,189
189,218
190,205
191,245
193,202
193,246
193,251
195,207
195,210
199,201
199,202
199,203
200,232
201,202
204,205
204,251
205,251
206,231
206,240
206,241
206,242
209,243
209,247
209,250
209,253
211,251
212,215
212,224
212,284
212,289
213,214
213,217
213,281
213,285
214,216
214,281
214,285
215,224
215,283
215,284
215,286
216,224
216,281
216,284
216,285
216,289
217,281
217,283
217,285
217,286
219,246
220,221
220,222
220,223
220,290
220,291
221,238
221,290
221,291
221,305
222,223
222,237
222,239
222,290
223,236
223,238
223,239
223,282
223,291
223,292
224,228
224,229
224,281
224,283
224,289
224,315
225,226
225,227
225,234
225,269
225,337
226,234
226,292
226,323
226,337
227,234
227,238
227,239
227,267
227,269
227,282
228,229
228,283
229,268
229,282
229,283
231,252
232,233
234,239
234,292
235,236
235,281
235,282
235,283
235,292
236,282
236,292
237,239
237,290
237,305
237,306
238,239
238,282
238,291
238,305
238,306
239,292
239,306
240,241
240,242
241,242
243,253
247,250
248,249
250,252
250,253
252,253
254,259
254,262
254,279
255,257
255,262
255,264
255,266
256,257
256,260
256,263
256,265
256,266
257,260
257,264
257,266
257,287
258,259
258,263
258,264
258,269
258,280
258,337
258,338
259,262
259,264
259,279
259,280
260,261
260,263
260,287
261,263
261,264
261,287
262,263
262,264
262,265
262,266
263,264
263,265
264,287
265,266
267,268
267,269
267,270
267,282
268,270
268,271
268,279
268,282
269,270
269,272
269,280
269,337
269,338
270,271
270,272
270,276
270,277
270,278
270,280
271,273
271,274
271,275
271,276
271,279
271,280
272,280
273,274
273,275
274,275
274,279
274,280
276,277
276,278
277,278
279,280
281,283
281,292
281,315
282,283
283,286
284,285
284,286
284,289
285,286
288,301
288,302
288,311
288,312
288,322
290,305
292,315
292,323
293,297
293,316
293,317
294,302
294,320
294,322
294,327
295,303
295,308
295,317
295,323
295,330
296,297
296,303
296,304
296,309
296,317
296,319
297,317
298,314
298,320
298,321
298,322
298,335
299,300
299,318
299,330
300,318
300,324
301,310
301,311
301,312
301,313
302,311
302,322
302,327
302,331
302,333
303,315
303,317
303,319
303,323
304,309
304,319
305,306
307,311
307,329
307,332
308,323
308,330
308,336
309,315
309,319
310,313
310,316
310,328
311,329
311,333
312,313
312,314
312,322
313,314
313,328
314,316
314,321
314,322
314,328
315,319
315,323
316,317
316,321
316,328
317,321
317,330
317,335
320,335
321,335
323,336
323,337
324,325
324,334
325,334
326,327
326,329
326,332
327,329
327,331
329,331
329,332
329,333
330,335
331,333
336,337
337,338
